stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
99,0.5,1.5,124.8614409,125.3526339,125.3526339,125.3567373,125.6393464,left,-1.5,1,1,0.612575249,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
100,0.5,1.5,125.9785306,126.4691011,126.4691011,126.4732923,126.7569281,left,-1.5,1,1,0.618860332,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
101,0.5,1,127.1025092,127.5857638,127.5857638,127.5898457,127.8729507,right,1,1,1,0.719615249,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
102,0.5,1,128.3191897,128.8025032,128.8025032,128.8065356,129.090181,left,-1,1,1,0.577782666,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
103,0.5,1,129.3959306,129.8859098,129.8859098,129.8902352,130.1731322,right,1,1,1,0.625568583,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
104,0.5,1,130.5283081,131.0193591,131.0193591,131.0240631,131.3063675,right,1,1,1,0.676857333,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
105,0.5,1,131.7123752,132.2025963,132.2025963,132.2069006,132.4895448,left,-1,1,1,0.651198832,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
106,0.5,1,132.8691795,133.3526157,133.3526157,133.3566455,133.6399268,left,-1,1,1,0.636313749,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
107,0.5,1,134.0025865,134.4859125,134.4859125,134.4903537,134.7729489,right,1,1,1,0.713959916,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
108,0.5,1,135.2117912,135.7026512,135.7026512,135.7067657,135.9895187,left,-1,1,1,0.562927207,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
109,0.5,1,136.2787001,136.7692235,136.7692235,136.7735641,137.0564433,left,-1,1,1,0.624176124,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
110,0.5,1,137.4115611,137.9027222,137.9027222,137.9068013,138.1897908,right,1,0,0,0.690018916,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
111,0.5,1.5,138.612061,139.1025809,139.1025809,139.1071343,139.389712,left,-1.5,1,1,0.415862915,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
112,0.5,1.5,139.5279488,140.0193562,140.0193562,140.0237066,140.3064602,right,1.5,0,0,0.553912582,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
113,0.5,2,140.585968,141.0693259,141.0693259,141.0734036,141.3564918,left,-2,1,1,0.469001333,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
